1	25141	33297	ENSXMAG00000021222
1	127198	253416	ENSXMAG00000023113
1	362691	421151	ENSXMAG00000013339
1	411092	414802	ENSXMAG00000024349
1	471055	475953	ENSXMAG00000001358
1	487207	531224	ENSXMAG00000001373
1	599899	1031408	ENSXMAG00000012381
1	665588	671496	ENSXMAG00000023604
1	1079252	1110031	ENSXMAG00000012317
1	1113941	1115892	ENSXMAG00000012315
1	1137436	1163575	ENSXMAG00000026573
1	1170788	1188607	ENSXMAG00000009029
1	1192672	1218801	ENSXMAG00000009080
1	1193166	1196605	ENSXMAG00000009079
1	1258689	1262144	ENSXMAG00000000910
1	1263713	1267183	ENSXMAG00000021064
1	1273572	1277838	ENSXMAG00000006934
1	1276830	1290514	ENSXMAG00000006941
1	1308686	1323105	ENSXMAG00000004822
1	1324057	1354046	ENSXMAG00000004783
1	1363487	1463438	ENSXMAG00000028502
1	1466243	1512984	ENSXMAG00000001952
1	1554461	1569352	ENSXMAG00000004772
1	1579409	1586417	ENSXMAG00000004759
1	1587551	1606308	ENSXMAG00000004725
1	1606393	1661343	ENSXMAG00000004719
1	1667971	1751759	ENSXMAG00000004678
1	1803332	1808676	ENSXMAG00000026194
1	1815474	1824817	ENSXMAG00000004669
1	1825293	1836709	ENSXMAG00000014133
1	1839059	1863979	ENSXMAG00000004641
1	1865867	1903229	ENSXMAG00000004623
1	1946920	2022751	ENSXMAG00000004608
1	2064945	2137734	ENSXMAG00000004559
1	2144354	2148254	ENSXMAG00000022265
1	2164149	2171043	ENSXMAG00000004552
1	2172014	2247686	ENSXMAG00000028517
1	2331681	2620398	ENSXMAG00000001369
1	2844474	2869242	ENSXMAG00000025501
1	2874342	2909731	ENSXMAG00000001327
1	2949914	2966336	ENSXMAG00000027140
1	2980568	3072369	ENSXMAG00000028169
1	3091028	3114861	ENSXMAG00000001273
1	3140231	3141816	ENSXMAG00000001270
1	3147895	3225097	ENSXMAG00000001131
1	3225338	3239667	ENSXMAG00000001076
1	3243709	3359907	ENSXMAG00000023820
1	3345860	3356681	ENSXMAG00000026726
1	3348715	3356095	ENSXMAG00000016246
1	3387504	3457041	ENSXMAG00000026206
1	3457121	3466979	ENSXMAG00000027733
1	3468979	3471161	ENSXMAG00000016305
1	3470417	3481480	ENSXMAG00000016138
1	3483206	3502489	ENSXMAG00000029856
1	3502481	3519115	ENSXMAG00000023736
1	3519500	3523713	ENSXMAG00000016311
1	3524185	3549356	ENSXMAG00000016317
1	3561139	3566582	ENSXMAG00000016353
1	3566838	3577418	ENSXMAG00000016356
1	3609151	3613289	ENSXMAG00000021393
1	3658174	3660002	ENSXMAG00000026776
1	3753919	3756810	ENSXMAG00000027187
1	3767927	3815793	ENSXMAG00000028759
1	3785630	3789258	ENSXMAG00000025836
1	3820205	3834853	ENSXMAG00000016409
