ref_wingei_Female_013_RNA	ref_wingei_Female_014_RNA	ref_wingei_Female_015_RNA	ref_wingei_Male_005_RNA	ref_wingei_Male_006_RNA	ref_wingei_Male_007_RNA	alt_wingei_Female_013_RNA	alt_wingei_Female_014_RNA	alt_wingei_Female_015_RNA	alt_wingei_Male_005_RNA	alt_wingei_Male_006_RNA	alt_wingei_Male_007_RNA	gene
2.4543761638733708	2.8026070763500934	2.653631284916201	7.681564245810057	6.726256983240224	5.206703910614526	1.3947858472998138	1.644320297951583	1.5623836126629422	4.9310986964618255	3.977653631284916	3.1899441340782118	ENSXMAG00000021985
0.925925925925926	0.4814814814814815	1.037037037037037	1.7037037037037035	2.4814814814814814	1.037037037037037	2.2222222222222223	1.4074074074074074	2.1481481481481484	3.037037037037037	2.9259259259259265	3.111111111111111	ENSXMAG00000022189
1.0425531914893618	2.7446808510638303	3.276595744680851	3.1702127659574466	4.287234042553192	1.8404255319148937	0.5638297872340425	1.0319148936170213	1.3404255319148937	1.4361702127659577	1.4680851063829787	0.7021276595744681	ENSXMAG00000022965
2.2005988023952097	2.0628742514970058	3.3592814371257487	5.284431137724551	5.526946107784432	4.703592814371257	1.7245508982035929	1.4071856287425148	2.434131736526946	3.6946107784431135	4.0778443113772465	3.532934131736527	ENSXMAG00000010871
1.8072289156626504	1.8313253012048192	1.921686746987952	4.13855421686747	3.933734939759036	3.0963855421686746	2.265060240963856	2.433734939759036	2.656626506024097	4.686746987951807	4.807228915662652	3.5542168674698797	ENSXMAG00000025975
1.2727272727272727	0.18181818181818185	2.1818181818181817	3.0909090909090913	4.0	1.4545454545454546	2.272727272727273	1.3636363636363635	4.0	6.727272727272728	6.8181818181818175	3.272727272727273	ENSXMAG00000025961
												ENSXMAG00000018270
0.6666666666666666	0.5333333333333333	1.6666666666666667	3.933333333333333	1.7333333333333334	2.066666666666667	0.06666666666666668	0.26666666666666666	0.5333333333333333	1.8666666666666667	1.0	0.9333333333333332	ENSXMAG00000000241
												ENSXMAG00000025669
0.3333333333333333	0.16666666666666666	1.3333333333333333	1.8333333333333333	4.166666666666667	1.6666666666666667	0.6666666666666666	0.16666666666666666	1.6666666666666667	3.1666666666666665	5.5	2.333333333333333	ENSXMAG00000000282
2.5785123966942147	1.8925619834710743	2.520661157024793	3.9090909090909087	4.900826446280992	2.330578512396694	1.487603305785124	0.8099173553719008	1.5371900826446283	2.0826446280991737	2.5867768595041323	1.6115702479338845	ENSXMAG00000003207
7.075987841945289	7.2674772036474184	7.27355623100304	18.726443768996962	15.167173252279634	14.726443768996962	4.498480243161095	4.817629179331306	5.173252279635259	12.896656534954408	10.738601823708208	9.328267477203648	ENSXMAG00000008057
1.6521739130434785	1.0869565217391304	0.7391304347826086	1.6956521739130437	1.3043478260869563	1.4782608695652173	1.1304347826086956	0.4782608695652174	0.43478260869565216	2.9565217391304346	1.5652173913043481	1.4782608695652173	ENSXMAG00000006633
5.139726027397259	6.556164383561644	5.884931506849315	11.62191780821918	14.558904109589042	8.624657534246575	2.712328767123288	3.4191780821917814	3.06027397260274	6.082191780821918	7.564383561643837	4.413698630136986	ENSXMAG00000003821
2.5485436893203883	2.902912621359224	2.7475728155339807	93.27184466019419	37.76699029126213	26.228155339805824	1.1796116504854368	1.3398058252427183	1.3737864077669903	43.54854368932039	17.674757281553394	11.49514563106796	ENSXMAG00000003842
2.912	3.384	2.968	1.248	4.656000000000001	16.36	0.848	0.76	0.8	0.32799999999999996	1.392	4.064	ENSXMAG00000028238
4.310185185185185	8.75462962962963	2.3240740740740744	5.333333333333333	5.8055555555555545	4.578703703703703	1.648148148148148	3.5092592592592586	1.1944444444444444	2.2546296296296298	2.185185185185185	1.8842592592592595	ENSXMAG00000003857
7.365853658536586	11.51219512195122	2.8780487804878048	5.634146341463414	8.341463414634148	6.780487804878049	2.463414634146341	4.097560975609756	1.1219512195121952	1.951219512195122	2.609756097560976	2.8536585365853657	ENSXMAG00000025577
