ref_latipinna_1Female_RNA	ref_latipinna_2Female_RNA	ref_latipinna_3Male_RNA	ref_latipinna_4Male_RNA	ref_latipinna_6Female_RNA	ref_latipinna_7Male_RNA	alt_latipinna_1Female_RNA	alt_latipinna_2Female_RNA	alt_latipinna_3Male_RNA	alt_latipinna_4Male_RNA	alt_latipinna_6Female_RNA	alt_latipinna_7Male_RNA	gene
6.329218106995884	0.0	5.477366255144034	3.3456790123456788	3.2757201646090537	6.522633744855968	3.4855967078189303	0.0	3.1213991769547325	1.969135802469136	1.8127572016460904	3.5761316872427984	ENSXMAG00000021985
												ENSXMAG00000022189
4.681818181818182	0.0	6.659090909090909	6.1818181818181825	2.727272727272727	6.863636363636362	2.590909090909091	0.0	4.318181818181818	3.8409090909090913	1.5227272727272727	3.9090909090909087	ENSXMAG00000022965
3.8924050632911382	0.0	4.4556962025316444	3.4556962025316458	3.1012658227848102	4.287974683544304	2.088607594936709	0.0	2.4936708860759493	1.962025316455696	1.7025316455696202	2.2278481012658227	ENSXMAG00000010871
12.033333333333333	0.0	18.866666666666667	5.433333333333334	8.416666666666666	4.0	5.45	0.0	8.9	2.6333333333333333	3.5166666666666666	1.9166666666666667	ENSXMAG00000025975
												ENSXMAG00000025961
												ENSXMAG00000018270
4.9230769230769225	0.0	0.5384615384615384	2.769230769230769	1.9743589743589745	3.9743589743589753	1.6666666666666667	0.0	0.1794871794871795	1.2307692307692308	0.4871794871794872	1.641025641025641	ENSXMAG00000000241
0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	6.0	1.0	6.0	ENSXMAG00000025669
3.0	0.0	3.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	ENSXMAG00000000282
4.42	0.0	1.9	1.81	2.85	3.11	1.9	0.0	0.9	0.88	1.38	1.63	ENSXMAG00000003207
5.238970588235294	0.0	5.882352941176472	3.7757352941176467	4.356617647058823	4.408088235294118	3.0992647058823533	0.0	3.4117647058823533	1.952205882352941	2.6323529411764706	2.551470588235294	ENSXMAG00000008057
