INDV	O(HOM)	E(HOM)	N_SITES	F	chr
P.lat._1F_T	20132	19473.0	28486	0.07312	chr10
P.lat._2F_T	15829	18468.0	26752	-0.31856	chr10
P.lat._3M_T	13184	19423.9	28544	-0.68418	chr10
P.lat._4M_T	18888	19340.3	28309	-0.05043	chr10
P.lat._6F_T	17252	18909.0	27479	-0.19335	chr10
P.lat._7M_T	18994	19275.4	28129	-0.03178	chr10
P.lat._1F_T	23000	21898.4	31764	0.11166	chr11
P.lat._2F_T	17628	20739.6	29761	-0.34491	chr11
P.lat._3M_T	14802	21686.4	31572	-0.69640	chr11
P.lat._4M_T	21727	21707.6	31413	0.00200	chr11
P.lat._6F_T	19483	21242.9	30622	-0.18764	chr11
P.lat._7M_T	22041	21693.4	31382	0.03588	chr11
P.lat._1F_T	21852	21285.1	31046	0.05808	chr12
P.lat._2F_T	17348	20154.6	29141	-0.31231	chr12
P.lat._3M_T	14739	21332.7	31332	-0.65942	chr12
P.lat._4M_T	20897	21029.2	30618	-0.01379	chr12
P.lat._6F_T	18737	20582.1	29792	-0.20033	chr12
P.lat._7M_T	21288	21052.0	30616	0.02468	chr12
P.lat._1F_T	19858	19445.1	28485	0.04567	chr13
P.lat._2F_T	16339	18537.8	26948	-0.26144	chr13
P.lat._3M_T	13636	19561.7	28907	-0.63408	chr13
P.lat._4M_T	19367	19487.6	28589	-0.01325	chr13
P.lat._6F_T	17290	18928.7	27593	-0.18913	chr13
P.lat._7M_T	19518	19402.3	28393	0.01287	chr13
P.lat._1F_T	18205	17796.6	26489	0.04699	chr14
P.lat._2F_T	14182	16522.7	24337	-0.29954	chr14
P.lat._3M_T	13476	17934.6	26865	-0.49926	chr14
P.lat._4M_T	17773	17844.2	26616	-0.00812	chr14
P.lat._6F_T	15686	17057.1	25182	-0.16876	chr14
P.lat._7M_T	17459	17456.9	25855	0.00025	chr14
P.lat._1F_T	17636	17177.5	24864	0.05965	chr15
P.lat._2F_T	14395	16426.3	23584	-0.28379	chr15
P.lat._3M_T	11642	17213.9	25066	-0.70960	chr15
P.lat._4M_T	16919	17112.6	24735	-0.02540	chr15
P.lat._6F_T	15408	16685.8	23984	-0.17508	chr15
P.lat._7M_T	17153	17140.6	24781	0.00163	chr15
P.lat._1F_T	25953	25127.9	36637	0.07169	chr16
